address,city,country,keys,latitude,longitude,name,postalcode,province
535 Indian Boundary Rd,Chesterton,US,us/in/chesterton/535indianboundaryrd/-2061630068,41.61729,-87.04294,BURGER KING,46304,IN
1130 N Main St,Monmouth,US,us/il/monmouth/1130nmainst/-2061630068,40.92425,-90.64808,BURGER KING,61462,IL
730 N Walnut St,Mount Carmel,US,us/il/mountcarmel/730nwalnutst/-2061630068,38.41316,-87.76726,BURGER KING,62863,IL
915 E Main St,Mount Joy,US,us/pa/mountjoy/915emainst/-2061630068,40.10976,-76.48087,BURGER KING,17552,PA
1275 Hamilton Lebanon Rd E,Monroe,US,us/oh/monroe/1275hamiltonlebanonrde/-2061630068,39.44426,-84.38155,BURGER KING,45050,OH
1701 Douglas Ave,Brewton,US,us/al/brewton/1701douglasave/-2061630068,31.1351,-87.06881,BURGER KING,36426,AL
165 Pearl St,Braintree,US,us/ma/braintree/165pearlst/-2061630068,42.202827,-70.99957,BURGER KING,2184,MA
955 W Hermosa St,Lindsay,US,us/ca/lindsay/955whermosast/-2061630068,36.20409,-119.10427,BURGER KING,93247,CA
46402 Middle Ridge Rd,Amherst,US,us/oh/amherst/46402middleridgerd/-2061630068,41.379787,-82.223,BURGER KING,44001,OH
1818 Quintard Ave,Anniston,US,us/al/anniston/1818quintardave/-2061630068,33.66823,-85.8273,BURGER KING,36201,AL
6908 Kimball Dr,Gig Harbor,US,us/wa/gigharbor/6908kimballdr/-2061630068,47.3218,-122.5881,BURGER KING,98335,WA
115 Golden Isles Plaza,Brunswick,US,us/ga/brunswick/115goldenislesplaza/-2061630068,31.21315,-81.49214,BURGER KING,31520,GA
1816 Patrick Dr,Burlington,US,us/ky/burlington/1816patrickdr/-2061630068,39.019518,-84.695796,BURGER KING,41005,KY
14251 Nicollet Ave,Burnsville,US,us/mn/burnsville/14251nicolletave/-2061630068,44.74493,-93.27912,BURGER KING,55337,MN
5725 Heisley Rd,Mentor,US,us/oh/mentor/5725heisleyrd/-2061630068,41.71507,-81.29964,BURGER KING,44060,OH
544 Main St E,Menomonie,US,us/wi/menomonie/544mainste/-2061630068,44.876,-91.92373,BURGER KING,54751,WI
2820 Pine St,Arkadelphia,US,us/ar/arkadelphia/2820pinest/-2061630068,34.121122,-93.084261,BURGER KING,71923,AR
1840 S Ohio St,Martinsville,US,us/in/martinsville/1840sohiost/-2061630068,39.40988,-86.42362,BURGER KING,46151,IN
20318 77th Ave NE,Arlington,US,us/wa/arlington/2031877thavene/-2061630068,48.180581,-122.126926,BURGER KING,98223,WA
1101 N Beale Rd,Marysville,US,us/ca/marysville/1101nbealerd/-2061630068,39.1262,-121.5761,BURGER KING,95901,CA
590 Roosevelt Rd,Glen Ellyn,US,us/il/glenellyn/590rooseveltrd/-2061630068,41.8597,-88.0634,BURGER KING,60137,IL
122 Lake Shore Dr E,Ashland,US,us/wi/ashland/122lakeshoredre/-2061630068,46.59247,-90.88282,BURGER KING,54806,WI
7209 N 23rd St,Mcallen,US,us/tx/mcallen/7209n23rdst/-2061630068,26.26989,-98.23499,BURGER KING,78504,TX
222 Hammond Dr,Atlanta,US,us/ga/atlanta/222hammonddr/-2061630068,33.9194,-84.3798,BURGER KING,30328,GA
1985 E Brooks Rd,Memphis,US,us/tn/memphis/1985ebrooksrd/-2061630068,35.06034,-89.99767,BURGER KING,38116,TN
217 Washington Ave,Endicott,US,us/ny/endicott/217washingtonave/-791445730,42.099313,-76.04791,WENDYS,13760,NY
170 5Th Ave,Owego,US,us/ny/owego/1705thave/-791445730,42.113808,-76.2528,WENDYS,13827,NY
101 McCauley Dr,Uhrichsville,US,us/oh/uhrichsville/101mccauleydr/-1161002137,40.4108,-81.3488,MCDONALDS,44683,OH
23400 Telegraph Rd,Flat Rock,US,us/mi/flatrock/23400telegraphrd/-2061630068,42.13495,-83.268372,BURGER KING,48134,MI
515 East Main Street,Biscoe,US,us/nc/biscoe/515eastmainstreet/1241037051,35.361,-79.7701,BOJANGLES FAMOUS CHICKEN N BISCUITS,27209,NC
32704 Grand River Ave,Farmington,US,us/mi/farmington/32704grandriverave/-2061630068,42.4621,-83.369866,BURGER KING,48336,MI
235 W 5th St,Eureka,US,us/mo/eureka/235w5thst/-2061630068,38.506872,-90.631156,BURGER KING,63025,MO
360 Blue Lakes Blvd N,Twin Falls,US,us/id/twinfalls/360bluelakesblvdn/-2061630068,42.56829,-114.46019,BURGER KING,83301,ID
171 Iron Point Rd,Folsom,US,us/ca/folsom/171ironpointrd/-2061630068,38.64293,-121.19069,BURGER KING,95630,CA
700 Mcmeans Ave,Bay Minette,US,us/al/bayminette/700mcmeansave/-2061630068,30.884432,-87.787837,BURGER KING,36507,AL
501 N 6th St,Beatrice,US,us/ne/beatrice/501n6thst/-2061630068,40.27097,-96.74727,BURGER KING,68310,NE
3999 N US Highway 31 S,Traverse City,US,us/mi/traversecity/3999nushighway31s/-2061630068,44.7442,-85.64093,BURGER KING,49684,MI
2 Front St,Troy,US,us/mo/troy/2frontst/-2061630068,38.98679,-90.97617,BURGER KING,63379,MO
4 Warrensville Rd,Bedford,US,us/oh/bedford/4warrensvillerd/-2061630068,41.39332,-81.53653,BURGER KING,44146,OH
1800 SW 10th Ave,Topeka,US,us/ks/topeka/1800sw10thave/-2061630068,39.05168,-95.69946,BURGER KING,66604,KS
45 Fairfield Ave,Bellevue,US,us/ky/bellevue/45fairfieldave/-2061630068,39.102393,-84.487981,BURGER KING,41073,KY
701 W Riverside Dr,Parker,US,us/az/parker/701wriversidedr/-2061630068,34.15143,-114.28642,BURGER KING,85344,AZ
2901 Court St,Pekin,US,us/il/pekin/2901courtst/-2061630068,40.55092,-89.60781,BURGER KING,61554,IL
1030 N Tuscarawas Ave,Dover,US,us/oh/dover/1030ntuscarawasave/106088,40.5264,-81.489,KFC,44622,OH
1495 Blowing Rock Rd,Boone,US,us/nc/boone/1495blowingrockrd/93075755,36.20183,-81.66207,ARBYS,28607,NC
1016 Blowing Rock Rd,Boone,US,us/nc/boone/1016blowingrockrd/-791445730,36.2053,-81.6694,WENDYS,28607,NC
1457 South St,Wheatland,US,us/wy/wheatland/1457southst/-1009719089,42.05127,-104.96131,TACO JOHNS,82201,WY
6301 Youree Dr,Shreveport,US,us/la/shreveport/6301youreedr/-2061630068,32.45047,-93.72139,BURGER KING,71105,LA
118 E Bert Kouns Industrial Loop,Shreveport,US,us/la/shreveport/118ebertkounsindustrialloop/-2061630068,32.39898,-93.74858,BURGER KING,71106,LA
1093 Blowing Rock Rd,Boone,US,us/nc/boone/1093blowingrockrd/-864103396,36.204913,-81.66803,TACO BELL,28607,NC
610 Blowing Rock Rd,Boone,US,us/nc/boone/610blowingrockrd/696490760,36.2096,-81.6741,HARDEES,28607,NC
1064 Blowing Rock,Boone,US,us/nc/boone/1064blowingrock/1241037051,36.204748,-81.668966,BOJANGLES FAMOUS CHICKEN N BISCUITS,28607,NC
896 Blowing Rock Rd,Boone,US,us/nc/boone/896blowingrockrd/-1161002137,36.20624,-81.67109,MCDONALDS,28607,NC
211 E Milwaukee Ave,Storm Lake,US,us/ia/stormlake/211emilwaukeeave/-1009719089,42.64782,-95.19806,TACO JOHNS,50588,IA
1213 Gilmore Ave,Winona,US,us/mn/winona/1213gilmoreave/-1009719089,44.04692,-91.66883,TACO JOHNS,55987,MN
718 Canton Rd NW,Carrollton,US,us/oh/carrollton/718cantonrdnw/-1161002137,40.58242,-81.09161,MCDONALDS,44615,OH
17 E 20th St,Dubuque,US,us/ia/dubuque/17e20thst/-1009719089,42.51148,-90.66971,TACO JOHNS,52001,IA
2949 5th Ave S,Fort Dodge,US,us/ia/fortdodge/29495thaves/-1009719089,42.50091,-94.15632,TACO JOHNS,50501,IA
225 W 4th Ave,Holdrege,US,us/ne/holdrege/225w4thave/-1009719089,40.4376,-99.38308,TACO JOHNS,68949,NE
729 S Burlington Ave,Hastings,US,us/ne/hastings/729sburlingtonave/-1009719089,40.57608,-98.3921,TACO JOHNS,68901,NE
1103 N Jefferson Way,Indianola,US,us/ia/indianola/1103njeffersonway/-1009719089,41.37047,-93.55883,TACO JOHNS,50125,IA
1211 Jackson St,La Crosse,US,us/wi/lacrosse/1211jacksonst/-1009719089,43.801421,-91.239416,TACO JOHNS,54601,WI
401 Erie Blvd W,Rome,US,us/ny/rome/401erieblvdw/-791445730,43.2129,-75.4652,WENDYS,13440,NY
411 N Broadway,Rumford,US,us/ri/rumford/411nbroadway/-891525969,41.83112,-71.36228,SUBWAY,2916,RI
701 Highway 12 E,Starkville,US,us/al/starkville/701highway12e/-345832572,33.4529,-88.8334,CHICK-FIL-A,39759,AL
1434 E 10th St,Jeffersonville,US,us/in/jeffersonville/1434e10thst/-2061630068,38.288293,-85.729192,BURGER KING,47130,IN
101 N Range Line Rd,Joplin,US,us/mo/joplin/101nrangelinerd/-2061630068,37.090824,-94.4743,BURGER KING,64801,MO
1911 Armour Rd,Kansas City,US,us/mo/kansascity/1911armourrd/-2061630068,39.14532,-94.55796,BURGER KING,64116,MO
4400 SE 29th St,Oklahoma City,US,us/ok/oklahomacity/4400se29thst/-2061630068,35.43469,-97.438792,BURGER KING,73115,OK
1007 Broadway St,Delhi,US,us/la/delhi/1007broadwayst/-2061630068,32.44697,-91.49281,BURGER KING,71232,LA
7150 Leetsdale Dr Unit H,Denver,US,us/co/denver/7150leetsdaledrunith/-2061630068,39.69838,-104.90427,BURGER KING,80224,CO
3000 E University Ave,Des Moines,US,us/ia/desmoines/3000euniversityave/-2061630068,41.600965,-93.558038,BURGER KING,50317,IA
